timestamp,zone_id,methane_ppm,co_ppm,ventilation_level
0,Z1,0.5194,2.2139,0.5752
0,Z2,0.3868,1.5989,0.6116
0,Z3,0.406,1.717,0.7399
0,Z4,0.4667,1.6084,0.662
0,Z5,0.6197,1.7162,0.6235
0,Z6,0.5768,1.863,0.7257
30,Z1,0.3329,1.669,0.595
30,Z2,0.2743,1.144,0.6162
30,Z3,0.2281,1.1581,0.7236
30,Z4,0.2808,1.165,0.646
30,Z5,0.3963,1.2507,0.6317
30,Z6,0.3633,1.4108,0.7083
60,Z1,0.1872,1.1061,0.6038
60,Z2,0.1274,0.7964,0.63
60,Z3,0.0992,0.7671,0.7529
60,Z4,0.1637,0.8552,0.6571
60,Z5,0.201,0.853,0.6154
60,Z6,0.1824,1.0313,0.6943
90,Z1,0.0421,0.7307,0.6264
90,Z2,0.0466,0.5001,0.6237
90,Z3,0.0,0.449,0.7388
90,Z4,0.0432,0.6043,0.6428
90,Z5,0.0534,0.6309,0.6094
90,Z6,0.0262,0.5691,0.6949
120,Z1,0.0,0.4523,0.603
120,Z2,0.0,0.236,0.6191
120,Z3,0.0,0.2419,0.7686
120,Z4,0.0,0.3354,0.6645
120,Z5,0.0,0.2985,0.6203
120,Z6,0.0,0.2696,0.7034
150,Z1,0.0,0.2321,0.6002
150,Z2,0.0,0.0,0.6049
150,Z3,0.0,0.0,0.7934
150,Z4,0.0,0.0157,0.6728
150,Z5,0.0,0.1006,0.636
150,Z6,0.0,0.0,0.7052
180,Z1,0.0,0.0516,0.5714
180,Z2,0.0,0.0,0.6248
180,Z3,0.0,0.0,0.816
180,Z4,0.0,0.0,0.672
180,Z5,0.0,0.0,0.652
180,Z6,0.0,0.0,0.7082
210,Z1,0.0,0.0,0.5668
210,Z2,0.0,0.0,0.6386
210,Z3,0.0,0.0,0.8458
210,Z4,0.0,0.0,0.673
210,Z5,0.0,0.0,0.6423
210,Z6,0.0,0.0,0.6914
240,Z1,0.0,0.0,0.5505
240,Z2,0.0,0.0,0.6128
240,Z3,0.0,0.0,0.8286
240,Z4,0.0,0.0,0.6773
240,Z5,0.0,0.0,0.6607
240,Z6,0.0,0.0,0.6873
270,Z1,0.0,0.0,0.5643
270,Z2,0.0,0.0,0.5887
270,Z3,0.0,0.0,0.8503
270,Z4,0.0,0.0,0.6742
270,Z5,0.0,0.0,0.6457
270,Z6,0.0,0.0,0.7089
300,Z1,0.0,0.0,0.5942
300,Z2,0.0,0.0,0.6143
300,Z3,0.0,0.0,0.8494
300,Z4,0.0,0.0,0.6477
300,Z5,0.0,0.0,0.6316
300,Z6,0.0,0.0,0.7043
330,Z1,0.0,0.0,0.5976
330,Z2,0.0,0.0,0.6021
330,Z3,0.0,0.0,0.852
330,Z4,0.0,0.0,0.6528
330,Z5,0.0,0.0,0.6111
330,Z6,0.0,0.0,0.6855
360,Z1,0.0,0.0,0.5817
360,Z2,0.0,0.0,0.5869
360,Z3,0.0,0.0,0.8471
360,Z4,0.0,0.0,0.6789
360,Z5,0.0,0.0,0.5954
360,Z6,0.0,0.0,0.6735
390,Z1,0.0,0.0,0.556
390,Z2,0.0,0.0,0.6166
390,Z3,0.0,0.0,0.833
